geoid,aland,awater,income,population,kmdensity,centx,centy
421330232002,14073854,0,26907,2913,206.9799957,-76.55603169,39.90485099
421330205223,15857872,599024,31998,1467,92.50930023,-76.90789754,39.87908687
421330224021,11330559,559778,31254,1363,120.2939987,-76.92709064,39.75937369
421330202202,14690533,0,37971,2105,143.2899933,-76.80989731,40.18587943
421330203202,25134544,1976910,32168,1251,49.77209854,-76.89220881,40.06516084
421330208005,13215544,31834,23477,3675,278.0820007,-76.77593754,40.06729742
421330205212,7655366,0,35558,1402,183.1399994,-76.84689766,39.89660943
421330239022,33782355,0,30783,1363,40.3465004,-76.52097324,39.79402382
421330101204,5730498,0,27988,821,143.2689972,-76.69234129,40.002187
421330210203,11368365,1163922,28212,1861,163.6999969,-76.69761946,40.07950362
421330209105,7084553,17557,31622,2594,366.1489868,-76.75400492,40.13634276
421330217112,18273868,1369116,28694,1654,90.51180267,-76.91026634,39.8169007
421330220001,251590,0,36250,673,2674.98999,-76.98555922,39.79414641
421330004002,195368,0,22300,1373,7027.759766,-76.70928731,39.97017214
421330206003,10218886,0,22172,919,89.9315033,-76.84067521,40.02168691
421330233024,10200916,37958,27800,1666,163.3190002,-76.58439346,39.93289374
421330227001,10211449,769213,63687,1430,140.0390015,-76.7291701,39.90784787
421330239012,21827927,0,28787,1825,83.60849762,-76.62520033,39.77728619
421330201001,4650209,0,39512,1516,326.0069885,-76.90455888,40.2087438
421330239011,31157342,0,41501,2406,77.22100067,-76.55879816,39.75424705
421330216002,15338627,15133,27343,1112,72.49669647,-76.78857492,39.92374351
421330236023,9725387,0,25455,1263,129.8659973,-76.50328268,39.95474364
421330005001,213333,0,20563,815,3820.320068,-76.70369872,39.96856993
421330240012,15071793,0,24309,2850,189.0950012,-76.37409246,39.7612139
421330219003,329616,0,26946,517,1568.48999,-76.96798069,39.78902087
420333302002,675307,0,16439,630,932.9089966,-78.76830209,41.12520139
420333302004,675051,1615,21009,1345,1992.439941,-78.77065651,41.11691782
